claim_id,report,location,claim_class,claim,source,access_level,independent_tier,verdict,severity,transferability,corrected_wording
H-Q1-01,Hermes review,Q1 L32-50,published finding,three/four dissociable outcome dimensions; scalar inadequacy,10.1519/JSC.0000000000002200; 10.1249/MSS.0000000000001764,abstract,A/B,SUPPORTED—LIMITED,moderate,"supervised, mostly men",Retain only as outcome dissociation; do not claim a fixed dimension count.
H-Q1-02,Hermes review,Q1 L44,published finding,load-by-outcome dose profiles,10.1007/s40279-024-02006-3,abstract/conclusion,A,UNVERIFIED—FULL TEXT REQUIRED,moderate,unknown full extraction,Quarantine exact optima; retain only source identity.
H-Q2-01,Hermes review,Q2 L78-92,published finding,Epley-family accuracy degrades beyond about 10 repetitions,18714230; 10.1007/s40279-023-01937-7,PubMed abstract/full-text claim not independently reread,B/A,PARTIALLY SUPPORTED,high,women bench press / heterogeneous review,Rewrite: one cited bench-press study says fewer-than-10 RTF improved prediction; it is not universal Epley validation.
H-Q2-02,Hermes review,Q2 L89-92,published finding,"2.51 reps SD at 80%, 4.36 at 60%; leg press 13.1 vs bench 8.8",10.1007/s40279-023-01937-7,metadata only in this audit,A,UNVERIFIED—FULL TEXT REQUIRED,high,meta-regression,Exact numbers require accessible locator/table.
H-Q2-03,Hermes review,Q2 L98-100,research-gap statement,no direct validation of additive RIR substitution,none,documented but non-systematic targeted search,—,GAP-NOT-ESTABLISHED,high,not applicable,Rewrite: no qualifying direct validation located in this audit’s documented search.
H-Q2-04,Hermes review,Q2 L104,published finding,"mean RIR underprediction 0.95 [0.17,1.73], SD 1.45, heterogeneity 97.9%, status beta -0.006",PMID 34542869,PubMed abstract,A,SUPPORTED,high,414 participants; sets to task failure,Retain exact values and qualification.
H-Q2-05,Hermes review,Q2 L105,published finding,error about one rep ARF 0–5 and >2 ARF 7–10; experience no effect,PMID 27787474,PubMed abstract,C,SUPPORTED,high,81 adults; chest press/leg press,Retain conditions and exercise difference.
H-Q2-06,Hermes review,Q2 L111,inference,"supervision-free error is a floor, not a ceiling",34542869;27787474,abstracts,inference,INFERENCE—REWRITE,high,unobserved population absent,Plausible but not measured; not a finding.
H-Q2-07,Hermes review,Q2 L115,research-gap statement,no propagated e1RM MDC,none,targeted search logged only at report level,—,GAP-NOT-ESTABLISHED,critical,not applicable,Use bounded documented-search wording; do not say none exists.
H-Q3-01,Hermes review,Q3 L135-143,published finding,heavy loads favor 1RM; hypertrophy relation conditional on effort,28834797;38970765,PubMed abstract,A,SUPPORTED—LIMITED,high,"trials/meta-regression, supervised",Retain distinction; exact ~30% floor needs source locator.
H-Q3-02,Hermes review,Q3 L141,research-gap statement,no head-to-head hard-set vs tonnage proxy trial,none,non-exhaustive search,—,GAP-NOT-ESTABLISHED,critical,not applicable,No qualifying direct comparison located; RPE>=8 is not validated proxy.
H-Q4-01,Hermes review,Q4 L165,published finding,calisthenic push-up programme improved outcomes,29466268,PubMed abstract,B,SUPPORTED—LIMITED,moderate,"23 men, 4 weeks","No common scale claim is a gap, not an empirical outcome."
H-Q4-02,Hermes review,Q4 L166,inference,isometric time/position/intensity map to app seconds and ordinal band,10.1186/s40885-022-00232-3,source not independently read,inference,UNVERIFIED—FULL TEXT REQUIRED,moderate,hypertension protocols,Health outcome does not validate strength progression metric.
H-Q5-01,Hermes review,Q5 L191,published finding,"direct 1RM ICC median .97, CV median 4.2%",32681399,PubMed abstract,A,SUPPORTED,high,"32 studies, n=1595",Supervised direct 1RM only.
H-Q5-02,Hermes review,Q5 L192,published finding,rep-max ICC/SEM values,10.1371/journal.pone.0268074,not retrieved in this audit,C,UNVERIFIED—FULL TEXT REQUIRED,high,24 trained adults claimed,Exact figures require article locator.
H-Q5-03,Hermes review,Q5 L196,research-gap statement,no persistence window,none,non-exhaustive targeted search,—,GAP-NOT-ESTABLISHED,critical,not applicable,Do not convert absence into non-buildability theorem.
H-Q6-01,Hermes review,Q6 L219,published finding,trackers/apps SDM .350 and ~1850 steps/day,33355160,not independently retrieved,A,UNVERIFIED—FULL TEXT REQUIRED,moderate,general activity adults,Not strength-metric display evidence.
H-Q6-02,Hermes review,Q6 L220-222,published finding/inference,quantification may reduce enjoyment; score gaming prediction,10.1093/jcr/ucv095,metadata only,B/inference,PARTIALLY SUPPORTED,moderate,consumer experiments,Do not represent as fitness-app gaming evidence.
H-Q7-01,Hermes review,Q7 L241-250,published finding,candidate-axis table,multiple,mixed access,mixed,PARTIALLY SUPPORTED,moderate,heterogeneous,"Hardware/capturability are system facts, not research findings."
H-Q8-01,Hermes review,Q8 L271-275,published finding,autoregulation review and terminology inconsistency,33520457;32813181,PubMed abstracts,C/B-,SUPPORTED—LIMITED,moderate,supervised interventions,No evidence establishes unsupervised descriptive-only policy.
A-Q1-01,Antigravity review,Q1 L55-89,published finding,four independent dimensions and mechanisms,multiple,mostly metadata only,mixed,PARTIALLY SUPPORTED,high,heterogeneous,Retain outcome dissociation only; mechanisms/independence overstate.
A-Q1-02,Antigravity review,Q1 L59-61,published finding,Schoenfeld g=.58 vs .35 values,28834797,PubMed abstract,A,UNVERIFIED—FULL TEXT REQUIRED,high,21 RCTs,"Abstract supports direction, not these exact values."
A-Q1-03,Antigravity review,Q1 L67-70,published finding,Pareja-Blanco +9.5% vs -1.2%,27038416,PubMed abstract,B,CONTRADICTED,high,"22 young men, squat","Abstract reports CMJ 9.5% vs 3.5%, not -1.2%."
A-Q1-04,Antigravity review,Q1 L75-82,published finding,Shimano exercise-specific repetitions,17194239,not retrieved,C,UNVERIFIED—FULL TEXT REQUIRED,moderate,30 men claimed,Exact table requires source locator.
A-Q2-01,Antigravity review,Q2 L151-175,published finding,Epley error ranges and LeSuer/Reynolds exact SEE,16937972;10.1519/00124278-199711000-00001,metadata/abstract insufficient,B-,UNVERIFIED—FULL TEXT REQUIRED,critical,varied exercises,Exact table has no furnished primary locator.
A-Q2-02,Antigravity review,Q2 L195-200,published finding,Halperin MAE 1.15±.40 and stratified MAEs,34542869,PubMed abstract,A,CONTRADICTED,critical,414 participants,"Abstract reports underprediction .95 [0.17,1.73], not claimed MAE table."
A-Q2-03,Antigravity review,Q2 L204-209,published finding,Hackett 3.5±1.2; Armes instructed 2-RIR 4–7,27787474;33424678,PubMed abstracts,C/B,CONTRADICTED,critical,81 adults; trained persons,"Hackett abstract lacks statistic; Armes has no instructed-2-RIR condition and pooled 2.0 [0,4]."
A-Q2-04,Antigravity review,Q2 L215-250,derived calculation,direct-1RM MDC and e1RM MDC table,32681399,PubMed abstract + calculations register,derived,AUDITOR-DERIVED—NOT PUBLISHED,critical,direct supervised 1RM basis,Math partly reproducible; no validated propagation or transfer.
A-Q2-05,Antigravity review,Q2 L267-274,design proposal,restrict e1RM inputs and >=12–15% sustained changes,none,not source-supported,proposal,UNSUPPORTED,critical,not applicable,Quarantine; prohibited recommendation.
A-Q3-01,Antigravity review,Q3 L282-284,published finding,hard set is fundamental hypertrophy quantum,30063555;38970765,PubMed abstracts,A,OVERSTATED,critical,review/meta-regression,"Sources support conditional/estimated RIR relation, not universal fundamental unit."
A-Q3-02,Antigravity review,Q3 L309-317,published finding,failure-matched hypertrophy and load effects,28834797;27174923;38970765,PubMed abstracts,A/B,SUPPORTED—LIMITED,high,supervised,Retain conditions; do not equate volume load.
A-Q3-03,Antigravity review,Q3 L327,published finding,hard sets R²=.68 vs tonnage R²=.09,30063555,PubMed abstract,A,UNVERIFIED—FULL TEXT REQUIRED,critical,14-study review,No R² in record; cannot retain until full-text locator.
A-Q3-04,Antigravity review,Q3 L335-345,design proposal,exclusive hard-set tracking/thresholds,none,not evidence,proposal,UNSUPPORTED,critical,not applicable,Quarantine.
A-Q4-01,Antigravity review,Q4 L382-390,published finding,"push-up 41/49/64/74% BW, eta²",21873902;20179649,PubMed abstracts,B,UNVERIFIED—FULL TEXT REQUIRED,high,23 recreationally fit / 28 trained men,"Abstract supports condition ordering, not supplied exact force values."
A-Q4-02,Antigravity review,Q4 L393-396,published finding,Calatayud/Kotarsky equivalence confirmed,24983847;29466268,metadata/abstract,B,OVERSTATED,high,small trials,p=.79 is not equivalence; Kotarsky is B not A.
A-Q4-03,Antigravity review,Q4 L399-404,published finding,planche torque 1.5–2.8x and exact Nm,none,no DOI/PMID,D,UNSUPPORTED,high,unspecified,No verifiable primary source supplied.
A-Q5-01,Antigravity review,Q5 L515-518,published findings,acute noise taxonomy and exact percentages,multiple,not independently retrieved,mixed,UNVERIFIED—FULL TEXT REQUIRED,high,varied tasks,Plausible lead list only.
A-Q5-02,Antigravity review,Q5 L539-546,published finding,Silva per-exercise MDC 15–51%,38086002,PubMed abstract,B-,UNVERIFIED—FULL TEXT REQUIRED,high,113 women >40,"Abstract confirms study/population, exact values need tables."
A-Q5-03,Antigravity review,Q5 L550-555,published finding,advanced gains .25-.75% weekly and 8–20× noise,27102172;29372481,not retrieved,A/D,UNSUPPORTED,critical,not specified,Unsourced adaptation-rate assumption drives derived conclusion.
A-Q5-04,Antigravity review,Q5 L566-595,derived calculation,"persistence windows, EWMA, e1RM SEM/MDC",multiple,calculation register,derived,AUDITOR-DERIVED—NOT PUBLISHED,critical,assumed IID/SEM/effect,Quarantine all operational windows.
A-Q6-01,Antigravity review,Q6 L619-620,published finding,Etkin d=.45-.62 and persistence effect,10.1093/jcr/ucv095,metadata only,B,UNVERIFIED—FULL TEXT REQUIRED,moderate,consumer experiments,No fitness setting transfer.
A-Q6-02,Antigravity review,Q6 L638-641,inference,observed resistance-training metric gaming,none,no direct study cited,inference,UNSUPPORTED AS EMPIRICAL,high,not applicable,May be a risk hypothesis only.
A-Q6-03,Antigravity review,Q6 L655-657,published finding,Baumel fitness app retention,31573916,metadata only,B-,MISCHARACTERISED,moderate,mental-health apps,Correct domain; do not call fitness-app data.
A-Q7-01,Antigravity review,Q7 L703-725,published finding/proposal,"rest, ROM, tempo, hard-set validity table",multiple,mixed,mixed,PARTIALLY SUPPORTED,high,heterogeneous,Tables improperly convert evidence into app verdicts.
A-Q7-02,Antigravity review,Q7 L723-725,published finding,binary RPE>=8 robust and R²=.68,34542869;30063555,PubMed abstracts,A,OVERSTATED,critical,task-failure studies/review,No binary-threshold validation or R² in records.
A-Q8-01,Antigravity review,Q8 L765-772,design proposal,metrics must never prescribe; +12% loop,none,calculation/inference,proposal,UNSUPPORTED,critical,not applicable,No observed loop evidence; no policy decision authorised.
A-Q8-02,Antigravity review,Q8 L795-799,published finding,"Mansfield anchoring, Armes 3–6, Refalo/Hughes error",32881842;33424678,PubMed abstracts,B,CONTRADICTED/PARTIAL,critical,trained men/participants,Mansfield found no blind/nonblind difference; Armes claim false.
A-Q8-03,Antigravity review,Q8 L802-808,published finding,sensorless VBT error/CV and daily capacity ±5–10,multiple,abstracts not read,B-,UNVERIFIED—FULL TEXT REQUIRED,high,hardware studies,No transfer to this sensorless app without exact locators.
A-META-01,Antigravity review,Q1-Q8 authorise blocks,design proposal,numerical thresholds/UI/algorithm restrictions,none,document text,proposal,UNSUPPORTED,critical,not applicable,Separate from evidence; directly breaches original brief.
